,reviews,starRating
11,"

  I have bought this same Symbol Lounge bottoms 4 times. The first time it was 5 stars. White color, now unavailable. 2nd time I bought it on sale reddish color, it was ok, 3 stars. 3rd batch 2 sets of navy blue - ok, but I think the dark dye did not suit my skin and I found it itchy. This is the fourth time - ok again, but looks like the vendor used some tricks to reduce the cloth, so while it fits, it seems smaller. PLEASE Amazon, INCREASE THE PRICE OF YOUR Symbol Brand LOUNGE BOTTOM IN LINE WITH TODAY'S PRICES AND PROVIDE US WITH 2015 QUALITY AND PLEASE SELL **WHITE** VARIANT AGAIN! This would be better than keeping the price low and reducing quality.

",3.0 out of 5 stars
12,"

  After a long time I have found a lounge wear which is perfect in terms of looks, fit, and comfort!! I have read lot if reviews here before ordering for the first time but after wearing it...most of the reviews I had read is all waste bcoz it is actually very good. Fabric is also not loosing color after multi wash! I initially ordered 1 and fater wearing it, I ended up ordering 4 more. I definitely recommend this product as lounge wear!

",5.0 out of 5 stars
13,"

  Fast color, good material, wash and wear, blended cotton, great stitching and very good fitting. In fact fitting depends upon one's body. I am a fit person with a normal waistline. I have already bought a similar quality with similar material similar sized pyjama from a well know brand in India for more than double the same price. Go for this Amazon's amazing product. Great value for money.

",5.0 out of 5 stars
14,"

  Now I really believe in Jockey or nothing. At the original price 999 this is worst, but at 50% less still it is not worth, my advice is please please do not buy. If you are a jockey man, hell noooooo.Fit, quality of fabric are zero. But elastic is good.

",1.0 out of 5 stars
15,"

  For taller men Medium & even long size will be little short, exactly as shown in the picture with ankle showing. Medium size I got was 28"" waist & length 38"". I tried L but the length is the same. Material seems mixed cotton & is light weight pants. You could find better home wear elsewhere.

",3.0 out of 5 stars
16,"

  It is really comfortable and fitting was also good for me but it is little bit different from the photo.The product is regular fit not slim fit as shown in photo . Good for wearing it at home but don’t consider it as formal wear as shown in photo . It is good for certain situation only if you are planning to wear it outdoors.

",4.0 out of 5 stars
17,"

  I've been wearing ""Symbol"" apparels for one year now. Very good thing is they've never disappointed me in terms of quality, price. Seems like a big brand is in building.This Pajama hasn't disappointed me either. Its light on skin, pretty comfortable and looks cool.Bring it on ""Symbol"". Looking forward for more such products under leisure model. Thanks.

",5.0 out of 5 stars
18,"

  The PJ is good as per my expectation. A good buy for 500.During WFH, it's comfortable to wear and work.Have washed it as well. Material is good without any manufacturing defects.I wear 36, but always go for a size larger for comfortable sleep. Bought XXL, fits well.-----2nd purchase : As good as the first one. Enjoying the PJs

",5.0 out of 5 stars
19,"

  Size is proper, my waist is 38 & I have ordered xl it fits perfect, good quality fabric.

",4.0 out of 5 stars
20,"

  I bought these and a “big US brand” pair pretty much wiring a week of each other. The Amazon pair is 80% of the other pair at perhaps half the cost. The big brand PJs didn’t shrink and are softer. But this is a decent pair. So I’m happy. But!!!  Are they made in India?  Would be a shame if they weren’t.

",4.0 out of 5 stars
21,"

  Fiting, design patern and comfert is good. However fabric is of very poor quality not heavy duty.It just torn apart within month waste of money. :( Don't buy.Company needs improve on fabric quality and it will be best seller.

",1.0 out of 5 stars
22,"

  Low high , lump is a bit tight,  very discomfort particularly for old person usually habituated to wear long high trousers. Not recommended. It is suggested to make long high and enlarge seam , back portion in order to feel comfortable. Price is too high in comperison to other market . Not useful, complete waste.Thanks.

",3.0 out of 5 stars
23,"

  These are excellent. Stitching is much better than many branded ones which cost 2-3 times more. There are only two minor things that you should consider -1. Fitting is on the slimmer side. If slim fit clothes typically don't fit you, you can order a larger size and spend 50 rupees to some local cloth alteration shop if its too loose.2. Length is slightly more than required. You might need to get it altered at a local shop.But at the price that they are available, they are a value for money as compared to expensive brands.

",5.0 out of 5 stars
24,"

  I always order just 1 piece of these Amazon Co-Branded Items to check the fabric material. This one is good.. in the past I had bad experience with one fo the Amazon-CoBranded Product (pajama) Buy without a 2nd choice.

",5.0 out of 5 stars
25,"

  Length can be a problem for taller men if they want to take it. My waist is 37"" and lenght required for me is 43"". Its length is 41""at time of purchase in unwashed new condition. It will surely shrink by 1.5"" more.other wise it's a ok product quality wise.price also is somewhat more for this small  length. If they can make it 43"" then it would be good. Also button for front is not comfortable for opening it.

",2.0 out of 5 stars
26,"

  Look like pajama party best in class best in price 299 only...400 are much high

",4.0 out of 5 stars
27,"

  The stitching was defective and unravelled with the first pre-wear wash. Amzon takes no responsibility.Check all Amazon clothes for stitching strength before removing the price tag and return immediately if it is weak or defective.Better still, buy clothing from other eitailers who stock quality apparel.

",1.0 out of 5 stars
28,"

  Ordered M  ; ..overall quality is ok for this range,Somewhat Fit and snuggyFabric is not soft and dont expect it to be like soft cottonBut you cant expect all at a price range at whcih it is offered.

",4.0 out of 5 stars
29,"

  Nice color and design. Material is okay but may be not so comfortable in humid weather. The style is a tapering one rather than a loose leg bottom. Feels good to wear. Difficult to get such a product at this price. Good buy, my opinion!

",4.0 out of 5 stars
30,"

  It used as a pyjama so providing elastic on waist along with a ribbon is a good idea. A chain in place of fork button would have been appreciated.On the whole it is a very good product. Value For Money.

",4.0 out of 5 stars
31,"

  Good product but a little short in comparison to Inkast brand pajamas. This has drawstring. Inkast brand does not. But Inkast brand is made of better material.

",5.0 out of 5 stars
32,"

  The picture shown for the product was plain white and the one received is as the above shown .....not happy with the product delivered as the design is completely different.....though the fit and size is perfect.....would like to know which other colors are available

",3.0 out of 5 stars
33,"

  I order large size and got medium size.It doesn't fit me at all. labels seems a bit strange as if it has been tampered with.DisappointedInitiated replace / return.

",2.0 out of 5 stars
34,"

  I really liked the product as soon as it reached me. Though my wife had doubts regarding its quality and asked me to return it, which I didnt stating that it's Amazon Brand which is the best. Though it lasted only a month and got teared right from the bottom while my other year older Pajamas are still perfectly fine and wearable. Here's a photo of the same.

",1.0 out of 5 stars
35,"

  It is not 100% cotton..beware..tericot..material..teryline plus cotton.....I do trust amazon brand but the manufacturer may be a crook.. the product is not even close to denim forget cotton..

",2.0 out of 5 stars
36,"

  Really awesome product. Since i am working from home, lately i am exploring option for the free pants. I should say this one meets my expectation. This one is within my budget and it give me a premium feel. And more move the fit is perfect as i expected. Give me awesome comfort. Just go for it. Thanks Amazon for this product.

",4.0 out of 5 stars
37,"

  The product was good.  But it didn't match my requirements.  This is very good for summer use I assume. I bought in winter that's why it didn't match my need. So I returned it.

",5.0 out of 5 stars
38,"

  Not a cotton pyjama this is synthetic I sweat all day when I wear this in Delhi summers better to not buy this if you’re buying this for summers you are going to sweat a lot

",1.0 out of 5 stars
39,"

  After 4 month, you can see the condition. Very poor quality !Never expected such bad quality cloth from Amazon's Brand.

",1.0 out of 5 stars
40,"

  I got 5 different pairs in 5 different colors. Bought one size up for extra comfort although it's a little lengthy and baggy. Not like I need to sleep in style.

",5.0 out of 5 stars
41,"

  Very good product..the only flaw is that the crotch is too small. 1-2 inches more would do the trick

",4.0 out of 5 stars
42,"

  Very comfortable, good stitching, and right size. The shape/cut is also good and not too loose ... can’t complain anything. Bought one and now may buy another one.

",5.0 out of 5 stars
43,"

  The product is good and the fabric is soft to your skin. You can try the product and you will feel nice. Overall a decent product. This brand should try to innovate more colours in this segment.

",4.0 out of 5 stars
44,"

  It was just as expected from Amazon. The delivery was delayed by a day but that's fine during these lockdown period. Very happy with the pyjama. The colour, design, fitting and the FEEL....everything is just right.I immediately ordered on more.

",5.0 out of 5 stars
45,"

  The seam length from waist to crotch is too short and not proportionate to size. Hence not comfortable fitting. May be suitable for persons using low waist pants / pajamas

",3.0 out of 5 stars
46,"

  I purchased this product Black colour. It was good and comfortable.When I purchased second time Blue colour , Quality is not same. cloth is poor quality, not comfortable and colour has faded after first wash. I need a replacement BLACK COLOUR XL SIZE.

",1.0 out of 5 stars
47,"

  The pyajama is quite Comfortable and soft. The quality of material is complete cotton but reasonable enough. The size is as expected. I am 5feet 10inches tall and the pyajama fits me. This product is a value for money.

",4.0 out of 5 stars
48,"

  fabric is good but the fit was not flexible at all as for night times you could not stretch your legs and will feel a bit un comfortable

",1.0 out of 5 stars
49,"

  Very bad quality fabric. Cloth has left the stitching in less than 2 weeks and after using the product twice

",1.0 out of 5 stars
50,"

  Product is good but material is very thin comfortable for wearing at night time but can't go outside it is semi transparent and don't have chain

",3.0 out of 5 stars
51,"

  Very very narrow waist on this “large” size pajama bottom, so it can’t be worn as is. Sent it to the local tailor for alterations, ridiculous!!!

",1.0 out of 5 stars
52,"

  Bought it for my father 3 pyjamas like this..and he is so reluctant to change to any other pyjamas he has. It's so comfortable, he says..

",5.0 out of 5 stars
53,"

  The fabric is of good quality & zips/lining are good. I had to get only the length adjusted. Very comfortable fit.

",5.0 out of 5 stars
54,"

  Modern, strong material, well stiched. Most comfortable as night / home wear.Washes without bleeding color!JUST PERFECT, FABRIC - PRICE - STITCHING - FITTING - LOOKING!!

",5.0 out of 5 stars
55,"

  I'd say this product is slightly overpriced.  The material is not as soft as I was expecting it to be for a lounge pant. It's not bad either. I will keep it.

",3.0 out of 5 stars
56,"

  Good quality fabric and colorEdited: this is my third purchase, got it torn and in very bad condition.

",1.0 out of 5 stars
57,"

  Fabric is not good.. amazon should do some homework before launching the product..

",1.0 out of 5 stars
58,"

  Bought 3 ... Good comfortable ... No need for ironing .. colour didnt fade even after sevral wash.. Elastic too is sturdy....bit lengthy..got it altered...Over priced ...

",4.0 out of 5 stars
59,"

  The material used does not breathe, is uncomfortable to wear. Doesn't feel like cotton

",2.0 out of 5 stars
60,"

  The stiching is of poorest quality. It started loosing stitches at multiple places within 10 days. The only reason I preferred to buy such stuff from online store is COVID. Won't suggest to spend your money on this. 🙏🏻

",1.0 out of 5 stars
61,"

  Very thin material, even my A4 sheet of paper has better strength than its material.Very much prone to tearing,Already got tore 2 times now.Waste of money even @₹350 not even worth ₹100.Better to buy something of better quality.

",2.0 out of 5 stars
62,"

  Super comfy, good material, very reasonably priced.  Just a little tight around the crotch area but overall great to buy.

",4.0 out of 5 stars
63,"

  Quite Comfortable, specially in summers. Good fit, looks decent. Only issue is that it shrinks a bit post couple of washes. Overall worth for money!

",4.0 out of 5 stars
64,"

  Not a quality product from symbol.  Doesn't absorb sweat and literally sweat runs top down my foot. I have been buying symbol for 2 years and have almost 30 shirts from symbol and much satisfied with quality and price,  but this is worst buy

",1.0 out of 5 stars
65,"

  I don't know why, I went for it, and left my time tested brand for sake of hundred rupees.

",1.0 out of 5 stars
66,"

  Mainly its Pockets are sufficient in size, it can carry a smart phone no chances of fell down while bike riding, material is good for daily use, finishing  and stiches also good, Only the drawback of this item is low width low tension elastic,may it reduce its usage lifetime. hope amazon will improve...

",5.0 out of 5 stars
67,"

  Crotch area (General) is short so uncomfortable and doesn't fit well.....

",3.0 out of 5 stars
68,"

  The stiching have come off with just 2 months of use. The fitting is a bit on the fit size. This being a nightwear should be a bit loose.

",2.0 out of 5 stars
69,"

  Design Wise ,Quality wise ok,but side pockets are very small, my smartphone fell down everytime when i drive or sit anywhere.

",4.0 out of 5 stars
70,"

  Well, bought it for my father  its very comfortable, Somewhat luks like a Pant.Bought 2nd Piece also.

",4.0 out of 5 stars
71,"

  Good buy. It's of good quality and fit. Fabric too is 100% cotton.cost keeps flipping btw 349 and 449

",5.0 out of 5 stars
72,"

  Color faded in 3-4 wash. Stitching is ordinary. Not value for money

",3.0 out of 5 stars
73,"

  Everything else is fine however the colour comes out during the wash so be careful not to wash with other clothes.  Dye colour can be of better quality.

",3.0 out of 5 stars
74,"

  Extremely poor quality. All I can say is please don't buy this product. I request you. This product quality is below average.

",1.0 out of 5 stars
75,"

  Expected value for money...all is great ..it could be more 100 cheaper ...but really good material ..classy look

",4.0 out of 5 stars
76,"

  The fabric is very lightweight and the pants are comfortable. It's built is strong too. However, the stitch around the waist started loosing threads in two three weeks. Therefore it needs a resilient stitch.

",4.0 out of 5 stars
77,"

  I was afraid after seeing reviews of this product but when I got mine it's fabulous. Fabric is also good and comfortable. My waist is 32 and I ordered medium size and it's perfect.

",5.0 out of 5 stars
78,"

  Now symbols products are getting smaller and tighter.

",2.0 out of 5 stars
79,"

  Poor quality product. Developed holes within 2 months of use.

",3.0 out of 5 stars
80,"

  Very soft cloth, enjoying after wearing first time. Again I will comment after washing, whether it shrink or not.

",5.0 out of 5 stars
81,"

  Hip Size is small, pockets are very small, my mobile has fallen several times and lucky nothing happened. Either remove the pocket or make it better for people

",1.0 out of 5 stars
82,"

  Fits my son well and looks good.

",5.0 out of 5 stars
83,"

  Not perfect to the size .. its actually small size as of mentioned

",3.0 out of 5 stars
84,"

  Pictures says white but it's a design pyjama with white base.Not full total white pyjama.Please suggest if it's a pure white pyjama then only I will order again.

",2.0 out of 5 stars
85,"

  Okay product. Comfortable. Could have More color selection

",4.0 out of 5 stars
86,"

  Selecting a right size is a big issue and varies from brand to brand. In this case one should buy over size.

",3.0 out of 5 stars
87,"

  At this price it is very good.  Happy with the product

",5.0 out of 5 stars
88,"

  Product does not look like on the display pic. However, it looks like ladies plazzo.

",1.0 out of 5 stars
89,"

  Better then any other company, cheaper and quality one. Thanks Amazon.

",5.0 out of 5 stars
90,"

  Stitches starts coming out within 1 month. Prints also starts disappearing.

",2.0 out of 5 stars
91,"

  Fit as expected, comfortable sleep wear

",5.0 out of 5 stars
92,"

  Not good, cut size, cloth poor

",1.0 out of 5 stars
93,"

  .little bit transparent.(visible cloth )should wear inner gears.

",5.0 out of 5 stars
94,"

  I regularly buy symbol pants and shorts and am happy with the product.

",5.0 out of 5 stars
95,"

  Perfect purchaseI love it

",4.0 out of 5 stars
96,"

  Will leave color. Do not wash with white clothes. I learnt it the hard way.

",2.0 out of 5 stars
97,"

  The pyjamas were too tight around the thigh. Uncomfortable while sleeping.

",3.0 out of 5 stars
98,"

  Good queslity product with comfort

",5.0 out of 5 stars
99,"

  Material is goodBut zip is not provided on pocket for safety purpose, other wise productGo for it.

",4.0 out of 5 stars
100,"

  So comfortable

",5.0 out of 5 stars
101,"

  Quality is good but stitches may go ... but comfort wise is awesome

",4.0 out of 5 stars
102,"

  Comfortable with Breathable fabric.

",4.0 out of 5 stars
103,"

  Fabric differs. I had two of them in different pattern and colour. The fabric was nice. But this appears to be thin material

",5.0 out of 5 stars
104,"

  Everything about product is excellent

",5.0 out of 5 stars
105,"

  Size was a bit small. Did not shrink after a wash

",3.0 out of 5 stars
106,"

  Its a good deal. Comfortable and value for money. Good for summers

",5.0 out of 5 stars
107,"

  Comfortable wear for leisure/sleep. Doubles up as loungewear as well. Color stays after many washes. Order one size bigger than your usual size,

",5.0 out of 5 stars
108,"

  Pathetic quality , torn apart in few days

",1.0 out of 5 stars
109,"

  Decent quality, good comfort, but I expected these to be a bit thicker based on the image of the product.These are too thin to wear in winter.

",4.0 out of 5 stars
110,"

  I have been regularly using it....for the price I got it (750 for two).....I must say it's value for money....it's pure cotton....so no trouble wearing it regularly.

",5.0 out of 5 stars
111,"

  If you want look good and be comfortable you should go for it.

",5.0 out of 5 stars
112,"

  Fitting is loose from legs , order L if your size is XL, material is good but look not like a pant bcoz its loose , i should have ordered small size

",3.0 out of 5 stars
113,"

  It looks the garment is for girls

",3.0 out of 5 stars
114,"

  Nice looking n comfortable

",5.0 out of 5 stars
115,"

  I would like to give 5* to this product.Comfortable and nice fabric.Size is also fit.

",5.0 out of 5 stars
116,"

  Poor quality. Got torn within 2 months. Not recommended.

",1.0 out of 5 stars
117,"

  Very poor quality making, never expected this low standard from symbol, I wore it only 4 times and the stiching on the waist gave away,

",1.0 out of 5 stars
118,"

  Good quality, excellent price. Fit as expected

",5.0 out of 5 stars
119,"

  The material of the product is very poor and I got an old, used and torn one. This is of very poor quality.

",1.0 out of 5 stars
120,"

  Value for money

",5.0 out of 5 stars
121,"

  The lower is good , fit as expected. Although the material is not cotton but it looks good on wearing. It is same as shown in the image.

",4.0 out of 5 stars
122,"

  The draw string is awful.  A simple stitched string would be great.

",3.0 out of 5 stars
123,"

  Bought it for my dad. He's been using it regularly and finds it comfortable.

",5.0 out of 5 stars
124,"

  The fitting is just awful and uncomfortable, even though I ordered a larger size than my usual.

",1.0 out of 5 stars
125,"

  Light and comfortable. Fitted well.

",4.0 out of 5 stars
126,"

  Amazing material quality! Very comfortable and fits well! Best product at the price!

",5.0 out of 5 stars
127,"

  Good

",4.0 out of 5 stars
128,"

  Great for summers!

",5.0 out of 5 stars
129,"

  Comfort

",4.0 out of 5 stars
130,"

  Recommended only for a year long use only.

",3.0 out of 5 stars
131,"

  The pants shrieked after first wash I had ordered L size but now I think its medium after wash. So plz order a size plus than your actual size.

",2.0 out of 5 stars
132,"

  Poor quality material

",1.0 out of 5 stars
133,"

  According to price ....it is smart choice.....I buy this product at 359

",4.0 out of 5 stars
134,"

  It's a good product

",5.0 out of 5 stars
135,"

  The material was good and did not bleed or shrink after washing. Very happy with the product

",5.0 out of 5 stars
136,"

  Stitching quality is pretty bad with the piece I recieved. Pockets were already torn and there are threads coming out from the seams. Could've been a great product if the stitching was proper.

",2.0 out of 5 stars
137,"

  Bought L size and it fits perfectly for my 36 waist.

",5.0 out of 5 stars
138,"

  Nice Pants...Fabric is good and feels comfortable, fitts good and value for money...Thanks Amazon

",5.0 out of 5 stars
139,"

  okay qualitywhat you pay is what you get

",3.0 out of 5 stars
140,"

  I find all Symbol Products good

",5.0 out of 5 stars
141,"

  Too good thanku amazon

",5.0 out of 5 stars
142,"

  Product is good for the money but meant for pleasant to a lil cold climate. As synthetic mix is there with cotton it gets sweaty.

",3.0 out of 5 stars
143,"

  Super product.Have repeated the order

",5.0 out of 5 stars
144,"

  Product quality is very low. I believe product febric is worst in the world... Ideal use of this febric to make carry bags. Even this product is not worth for 50rs.

",1.0 out of 5 stars
145,"

  Very comfortable and comfortable

",4.0 out of 5 stars
146,"

  It's NOT COTTON. For this same quality.. the price is Rs.100 per pyjama at the market. For 400 they must provide cotton wear.

",1.0 out of 5 stars
147,"

  Could be a bit wider. Otherwise all good. Material is nice.

",4.0 out of 5 stars
148,"

  Stiching of product is of low quality, since I saw after wearing the apparel couldn’t return the item.

",2.0 out of 5 stars
149,"

  Major issue is fading of color. In 2 months, it looks at if it is 3 yrs old.Color quality should be good at-least for couple of years. Not value for the price.

",3.0 out of 5 stars
150,"

  The fabric quality is good, it's cool and smooth suitable to wear when sleeping.

",5.0 out of 5 stars
151,"

  As the product describes, it is not 100% cotton but mixed material. Its OK for winters but might not be great for other seasons.

",3.0 out of 5 stars
152,"

  good fabric, color. it needs a matching top to use it as a night suit.

",3.0 out of 5 stars
153,"

  I'm a fan of symbol . Serious material very comfortable yet very stylish.

",5.0 out of 5 stars
154,"

  Excellent product ! Absolute value for money ! I am ordering a few more !

",5.0 out of 5 stars
155,"

  Very nice product pure cotton

",5.0 out of 5 stars
156,"

  Awesome must try !

",5.0 out of 5 stars
157,"

  Length slightly short

",5.0 out of 5 stars
158,"

  Comfortable just the way I wanted it!

",5.0 out of 5 stars
159,"

  Worst Material, got damaged in a week time.

",1.0 out of 5 stars
160,"

  I got this for my grandfather, he loved it! Fits perfectly just a bit long in length but got it altered. Otherwise really great quality for summers, love it👍🏼

",5.0 out of 5 stars
161,"

  Good

",5.0 out of 5 stars
162,"

  Very bad quality this time from Amazon, the product tore into pieces after a week

",1.0 out of 5 stars
163,"

  Paijama is good but I don’t think so this material is cotton My waist size is 33 and I bought M Size (32 to 34 ) perfectly fitted will buy 1 more

",3.0 out of 5 stars
164,"

  Omg..it's amazing looking quality wise for wise n pocket friendly

",5.0 out of 5 stars
165,"

  The cloth is good.

",4.0 out of 5 stars
166,"

  Cloth is very poor and not as per specifications. I t,Reid to return to return today  and it is not accepting

",1.0 out of 5 stars
167,"

  Cool product

",5.0 out of 5 stars
168,"

  My second purchase - Good Fit - Good Quality

",5.0 out of 5 stars
169,"

  Bottom and pockets not stiched properly.Due care is not taken while finishing.looks shabby.

",4.0 out of 5 stars
170,"

  It will shrink after a wash. Fabric is very good. I have ordered small size. My height is some what short. So its length is a bit large for me.

",5.0 out of 5 stars
171,"

  Too tight,  bad fabric and bad fitting

",1.0 out of 5 stars
172,"

  Product is not 100%  cotton but useful for house and outdoor

",4.0 out of 5 stars
173,"

  Not so great ok kind of product

",3.0 out of 5 stars
174,"

  Good fitting and cloth  material

",5.0 out of 5 stars
175,"

  Turnedout to be Absolutely bad..torn after 2 wash... Now amazon is not doing anything after multiple complain.

",1.0 out of 5 stars
176,"

  Value for momey

",5.0 out of 5 stars
177,"

  Soft and good material at good price

",5.0 out of 5 stars
178,"

  The quality of the product is too bad after one wash the colour of if is Faded. Comfort level of this product is good and fittings also.

",1.0 out of 5 stars
179,"

  GOOD

",5.0 out of 5 stars
180,"

  Fabric quality is not upto the mark. I bought it by 499 which is high for this quality.

",3.0 out of 5 stars
181,"

  Material and fit good and comfort

",5.0 out of 5 stars
182,"

  Super fabric and comfort

",4.0 out of 5 stars
183,"

  Product is good but, i have doubts with paint on threads and colour.Anyway i filling comfortable at present before washing, after washing what will be almighty knows....

",3.0 out of 5 stars
184,"

  This is so good. The material quality is decent. For this price it's actually a very good product. Just go for it.

",5.0 out of 5 stars
185,"

  Good for the price. Material is slightly thin, but overall comfortable

",5.0 out of 5 stars
186,"

  Good quality at reasonable price

",4.0 out of 5 stars
187,"

  सभी कुछ अच्छा किन्तु लंबाई थोड़ी अधिक मेरी लंबाई 5'4"". रंग के अनुरूप थोड़ा धागा एवम सुई भी देना चाहिए।

",5.0 out of 5 stars
188,"

  Somewhat shaggy, not fit as expected.

",2.0 out of 5 stars
189,"

  Excellent

",5.0 out of 5 stars
190,"

  Good product

",5.0 out of 5 stars
191,"

  Bought a Medium size. Good material. Washes well.. Doesnt bleed colour. Very classy and comfortable fit

",5.0 out of 5 stars
192,"

  Good for summers. Soft. Nice colour. The colour didn't fade after wash.

",5.0 out of 5 stars
193,"

  Good quality smart fit, like it

",5.0 out of 5 stars
194,"

  It looks like a premium and it's so posh looking

",5.0 out of 5 stars
195,"

  As desired and advertised.

",4.0 out of 5 stars
196,"

  Comfortable and good.

",5.0 out of 5 stars
197,"

  It's a good product. True value for money.

",4.0 out of 5 stars
198,"

  Not as shown in picture

",5.0 out of 5 stars
199,"

  Excellent item. very comfortable and strong

",5.0 out of 5 stars
200,"

  excellent fit, good fabric and best price. i am one happy customer

",5.0 out of 5 stars
201,"

  Doted design as per photo are different but comfort is good , fitting quite so.....so....

",3.0 out of 5 stars
202,"

  Fitting is good ....but fabric is not cotton

",3.0 out of 5 stars
203,"

  Although it's quite baggy, it fits just perfectly at the waist.

",5.0 out of 5 stars
204,"

  Nice product.

",5.0 out of 5 stars
205,"

  Value for money. International quality, Worth to buy.

",5.0 out of 5 stars
206,"

  Didn't expect this much better product in such a low price.

",5.0 out of 5 stars
207,"

  This not 100% cotton. Pl check before buying.

",3.0 out of 5 stars
208,"

  Good material quality and fitting.Better replacement for Jack and jones pants costs around 1000Rs.

",5.0 out of 5 stars
209,"

  It's nice product

",5.0 out of 5 stars
210,"

  Nice .fabric is good.value for money.buy it.

",5.0 out of 5 stars
211,"

  Good

",4.0 out of 5 stars
212,"

  Symbol products are really awesome...I am very satisfied with this brand...

",5.0 out of 5 stars
213,"

  Quality is fine but it is too baggy.Size fit is not as shown in the pictures.

",3.0 out of 5 stars
214,"

  Good product quality also good.

",5.0 out of 5 stars
215,"

  The design is too much compared to white colour not good for men in looks

",3.0 out of 5 stars
216,"

  Nice apparel with good switching & fit, value for money

",4.0 out of 5 stars
217,"

  Good product

",5.0 out of 5 stars
218,"

  supplied with print not White shown and ordered. Even the replacement was also a print.

",3.0 out of 5 stars
219,"

  Super colety

",5.0 out of 5 stars
220,"

  Absolutely perfect fit and comfortable, only issue is that it’s not that durable so it’s a littlebit expensive

",4.0 out of 5 stars
221,"

  Quality of material is very good.

",5.0 out of 5 stars
222,"

  Check out length and always go for one up than your regular size as the size is always small.

",4.0 out of 5 stars
223,"

  Good product

",5.0 out of 5 stars
224,"

  Cloth is very smoothBreathableGO FOR it

",5.0 out of 5 stars
225,"

  Good product

",4.0 out of 5 stars
226,"

  Quality is good, but fitting is not so comfortable, does not match the fitting compared to jokey brand of  same size.

",4.0 out of 5 stars
227,"

  Comfortable. Fit is good.

",4.0 out of 5 stars
228,"

  Pretty comfortable and i believe they're good for the price around 300.. cloth is fine

",5.0 out of 5 stars
229,"

  Duplicate stuffDon't buy it beware of this product

",1.0 out of 5 stars
230,"

  Very bad stuff. Threads are coming out all over. Just wasted my. Can i be compensated

",1.0 out of 5 stars
231,"

  Its cotton.Good for summers.But It is not worth the money paid.If they are selling thosr pantd at 400 something.Then a comparable thicker material should be there

",2.0 out of 5 stars
232,"

  After 1 month uses good quality fabrics looking nice and value for money

",5.0 out of 5 stars
233,"

  The fitting and the texture is really good. It's value for money.

",5.0 out of 5 stars
234,"

  Nice product

",4.0 out of 5 stars
235,"

  Its somewhat mix material not 100 % cotton but overall fitting stitching nice

",4.0 out of 5 stars
236,"

  Pyjama cloth is good but they run small and shrink after first wash.

",1.0 out of 5 stars
237,"

  Very very poor quality cloth. Gets easily torn.

",1.0 out of 5 stars
238,"

  Nice

",5.0 out of 5 stars
239,"

  It has got many unstitched portion,  casual attitude towards work,  need quality checks more

",1.0 out of 5 stars
240,"

  It’s shrinking

",2.0 out of 5 stars
241,"

  Polyster fabric and nylon strap do not buy

",2.0 out of 5 stars
